Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
DY-405,32000,24,20,1,13,3,0,0,3,4,0,1,0,0,1
DY-410,34000,16,15,1,9,1,1,0,1,1,0,1,0,1,1
Dy-415,34000,20,25,2,8,1,0,1,1,1,0,1,0,1,1
Dy-430,35000,25,31,2,8,1,0,3,1,1,0,1,1,1,1
Dy-431,35000,25,30,2,11,2,0,2,2,1,0,1,1,1,2
Dy-478_NHS-Ester,90000,31,35,4,5,1,0,4,0,2,0,1,1,1,1
Dy-490,73000,24,22,3,13,3,0,0,3,3,0,2,0,1,1
Dy-495,70000,27,24,1,8,0,1,0,0,3,0,2,0,1,1
Dy-505,80000,27,26,3,6,0,1,0,0,3,0,2,0,1,1
Dy-530,100000,31,34,3,10,2,0,1,2,3,0,1,0,1,3
Dy-546,100000,33,36,3,10,2,2,3,2,3,0,1,0,1,3
Dy-547P1,150000,32,31,2,9,2,0,5,2,2,4,1,2,0,2
Dy-548P1,150000,34,42,2,12,2,0,4,3,2,4,1,2,0,3
Dy-549P1,150000,36,45,2,15,4,0,3,4,2,4,1,2,0,4
Dy-550,120000,32,42,3,9,1,0,5,1,1,3,1,1,0,2
Dy-554,100000,31,34,3,6,0,1,4,0,3,0,2,0,1,1
Dy-555,100000,35,42,3,6,0,1,4,0,3,0,2,0,1,1
Dy-556,100000,36,42,3,9,1,0,3,1,3,0,1,0,1,1
Dy-557,100000,37,43,3,12,2,0,2,2,3,0,1,0,1,3
Dy-560,120000,33,41,3,8,2,0,4,1,3,0,1,0,1,1
Dy-580,100000,33,31,2,5,2,0,0,0,3,0,2,4,1,0
Dy-585,120000,39,46,3,10,2,0,4,2,3,0,1,1,1,3
Dy-590,120000,37,41,3,8,2,0,0,1,3,0,1,4,1,1
Dy-591,120000,38,43,3,10,2,0,0,1,3,0,1,4,1,1
Dy-605,110000,43,53,5,14,4,0,5,4,3,0,1,2,1,3
Dy-610,80000,32,42,3,9,1,0,5,1,1,3,1,1,1,2
Dy-615,200000,32,38,2,6,1,0,5,1,2,4,1,1,1,1
Dy-630,200000,36,46,2,6,1,0,7,1,2,4,1,1,1,1
Dy-631,200000,36,45,2,9,2,0,6,2,2,4,1,1,1,2
Dy-632,200000,37,46,2,12,3,0,4,3,2,4,1,1,1,2
Dy-633,200000,37,47,2,9,2,0,6,2,2,4,1,1,1,2
Dy-634,200000,38,47,2,15,4,0,4,4,2,4,1,1,1,4
Dy-635,200000,38,46,2,6,1,0,5,1,2,4,1,3,1,1
Dy-636,200000,38,45,2,9,2,0,4,2,2,4,1,3,1,2
Dy-641,80000,35,39,3,12,2,0,3,2,2,3,1,1,1,2
Dy-643,80000,36,41,3,13,2,0,4,2,2,3,1,1,1,2
Dy-647P1,250000,34,41,2,9,2,0,5,2,2,6,1,2,0,1
Dy-648P1,250000,36,44,2,12,3,0,4,3,2,6,1,2,0,3
Dy-649P1,250000,38,47,2,15,4,0,3,4,2,6,1,2,0,4
Dy-650,220000,40,50,2,6,1,9,9,1,2,4,1,2,1,1
Dy-651,220000,40,49,2,9,2,0,8,2,2,4,1,2,1,1
Dy-652,220000,41,50,2,12,3,0,7,3,2,4,1,2,1,3
Dy-654,220000,41,49,2,15,4,0,6,4,2,4,1,2,1,3
Dy-660P1,200000,40,45,2,15,4,0,4,4,3,6,1,2,0,3
Dy-675,180000,42,46,2,6,1,0,6,1,3,5,1,2,1,1
Dy-676,180000,42,45,2,9,2,0,5,2,3,4,1,2,1,2
Dy-677,180000,43,46,2,12,3,0,4,3,3,4,1,2,1,3
Dy-678,180000,43,44,2,15,4,0,3,4,3,4,1,2,1,3
Dy-679P1,200000,44,46,2,18,5,0,4,4,4,6,1,2,0,3
Dy-680,140000,36,46,2,6,1,0,7,1,2,4,1,1,1,1
Dy-681,140000,36,45,2,9,2,0,6,2,2,4,1,1,1,2
Dy-682,140000,37,46,2,12,3,0,5,3,2,4,1,1,1,2
Dy-684,140000,46,47,2,15,4,0,4,4,4,4,1,1,1,2
Dy-700,140000,39,44,2,6,1,0,5,1,3,4,1,1,1,1
Dy-701,140000,39,43,2,9,2,0,4,2,3,4,1,1,1,2
Dy-703,140000,40,45,2,10,2,0,5,2,3,4,1,1,1,2
Dy-704,140000,40,44,2,13,3,0,5,3,3,4,1,1,1,2
Dy-705,140000,39,43,2,9,2,0,5,2,3,4,1,1,1,1
Dy-706,140000,39,42,2,12,3,0,4,3,3,4,1,1,1,2
Dy-720,140000,45,52,3,10,2,0,5,2,4,3,1,1,1,2
Dy-730,240000,38,48,2,6,1,0,7,1,2,6,1,1,1,1
Dy-731,240000,38,47,2,9,2,0,6,2,2,6,1,1,1,2
Dy-732,240000,39,48,2,12,3,0,5,3,2,6,1,1,1,3
Dy-734,240000,40,49,2,15,4,0,3,4,2,6,1,1,1,4
Dy-736,240000,40,47,2,9,2,0,4,2,2,6,1,3,1,2
Dy-747P1,240000,36,43,2,9,2,0,5,2,2,8,1,2,0,2
Dy-749P1,240000,40,49,2,15,4,0,3,4,2,8,1,2,0,4
Dy-751,270000,42,51,2,9,2,0,8,2,2,6,1,2,1,2
Dy-752,270000,43,52,2,12,3,0,7,3,2,6,1,2,1,3
Dy-754,270000,43,51,2,15,4,0,6,4,2,6,1,2,1,4
Dy-765,130000,51,53,3,13,3,0,7,3,5,3,1,2,1,1
Dy-776,240000,44,47,2,9,2,0,5,2,3,6,1,2,1,2
Dy-777,240000,45,48,2,12,3,0,4,3,3,6,1,2,1,3
Dy-778,240000,45,47,2,15,4,0,3,4,3,6,1,2,1,3
Dy-780,170000,38,48,2,6,1,0,7,1,2,6,1,1,1,1
Dy-781,170000,38,47,2,9,2,0,6,2,2,6,1,1,1,1
Dy-782,170000,39,48,2,12,3,0,5,3,2,6,1,1,1,3
Dy-784,170000,48,49,2,15,4,0,4,4,4,6,1,1,1,2
Dy-805,150000,44,47,2,11,2,0,3,2,4,5,1,1,1,2
Dy-820,200000,47,54,3,10,2,0,5,2,4,5,1,1,1,2
Dy-831,220000,40,49,2,9,2,0,6,2,2,8,1,1,1,1
Dy-845,160000,51,57,3,13,3,0,6,3,4,5,1,2,1,2
Dy-865,190000,53,55,3,13,3,0,7,3,5,5,1,2,1,1
Dy-480XL,50000,26,30,2,7,2,0,2,1,1,3,1,1,1,1
Dy-481XL,50000,27,31,2,10,2,0,1,2,1,3,1,1,1,2
Dy-585XL,50000,25,30,2,7,1,0,1,1,1,0,1,1,1,2
Dy-510XL,50000,29,34,2,7,1,0,3,1,1,0,1,2,1,2
Dy-5101XL,47000,29,33,2,10,2,0,2,2,1,0,1,2,1,2
Dy-520XL,50000,26,30,2,7,1,0,2,1,1,3,1,1,1,1
Dy-521XL,50000,27,31,2,10,2,0,1,2,1,3,1,1,1,2
Dy-601XL,85000,33,37,2,11,2,0,2,2,2,5,1,1,1,2
