,linear_reg_all_data_essential_features_FPR,linear_reg_all_data_essential_features_TPR
0,0.0,0.0
1,0.010101010101010102,0.0
2,0.010101010101010102,0.05
3,0.010101010101010102,0.1
4,0.010101010101010102,0.15
5,0.020202020202020204,0.15
6,0.020202020202020204,0.2
7,0.020202020202020204,0.25
8,0.030303030303030304,0.25
9,0.030303030303030304,0.35
10,0.030303030303030304,0.4
11,0.030303030303030304,0.5
12,0.04040404040404041,0.5
13,0.04040404040404041,0.6
14,0.04040404040404041,0.65
15,0.050505050505050504,0.7
16,0.06060606060606061,0.7
17,0.06060606060606061,0.8
18,0.08080808080808081,0.8
19,0.09090909090909091,0.8
20,0.1111111111111111,0.8
21,0.12121212121212122,0.8
22,0.13131313131313133,0.8
23,0.1414141414141414,0.8
24,0.15151515151515152,0.8
25,0.16161616161616163,0.8
26,0.1717171717171717,0.8
27,0.18181818181818182,0.8
28,0.1919191919191919,0.8
29,0.20202020202020202,0.8
30,0.21212121212121213,0.8
31,0.23232323232323232,0.85
32,0.24242424242424243,0.85
33,0.26262626262626265,0.95
34,0.2727272727272727,0.95
35,0.2828282828282828,0.95
36,0.30303030303030304,0.95
37,0.31313131313131315,0.95
38,0.3333333333333333,0.95
39,0.36363636363636365,0.95
40,0.3838383838383838,1.0
41,0.40404040404040403,1.0
42,0.41414141414141414,1.0
43,0.42424242424242425,1.0
44,0.4444444444444444,1.0
45,0.45454545454545453,1.0
46,0.47474747474747475,1.0
47,0.48484848484848486,1.0
48,0.494949494949495,1.0
49,0.5050505050505051,1.0
50,0.5151515151515151,1.0
51,0.5252525252525253,1.0
52,0.5858585858585859,1.0
53,0.5959595959595959,1.0
54,0.6060606060606061,1.0
55,0.6161616161616161,1.0
56,0.6262626262626263,1.0
57,0.6565656565656566,1.0
58,0.6666666666666666,1.0
59,0.6767676767676768,1.0
60,0.6868686868686869,1.0
61,0.7171717171717171,1.0
62,0.7272727272727273,1.0
63,0.7373737373737373,1.0
64,0.7474747474747475,1.0
65,0.7575757575757576,1.0
66,0.8282828282828283,1.0
67,0.8484848484848485,1.0
68,0.8686868686868687,1.0
69,0.8787878787878788,1.0
70,0.9090909090909091,1.0
71,0.9191919191919192,1.0
72,0.9292929292929293,1.0
73,0.9393939393939394,1.0
74,0.9494949494949495,1.0
75,0.9595959595959596,1.0
76,0.9797979797979798,1.0
77,0.98989898989899,1.0
78,1.0,1.0
