,linear_reg_dyomics_data_basic_features_y_val,linear_reg_dyomics_data_basic_features_y_pred
0,150.0,164.25497553858997
1,140.0,179.17797839108786
2,110.0,103.30876022817858
3,50.0,75.68393986432088
4,100.0,125.87241405495756
5,190.0,210.80182799612453
6,200.0,196.8104911631604
7,220.0,218.16107971968177
8,220.0,206.34895132551333
9,170.0,219.87445514871058
10,250.0,152.87868883218067
11,240.0,207.19064337902387
12,140.0,206.28896868149786
13,120.0,112.31691890975256
14,180.0,185.91073898067876
15,240.0,195.37851498485543
16,270.0,219.93443779272604
17,80.0,99.57312449605037
18,170.0,204.57559325246905
19,220.0,206.34895132551333
20,200.0,127.91691565855862
21,90.0,14.64326476088965
22,100.0,62.69899324206963
23,50.0,87.93190994624845
24,180.0,193.60515691181112
25,150.0,198.72477175856346
26,220.0,216.82356333439662
27,140.0,166.43418397738566
28,140.0,182.59447352897843
29,120.0,106.466097415847
30,140.0,167.7717003626708
